method,path,body,single_q,double_q,dashes,braces,spaces,SQL Badwords,XSS Badwords,Command Injection Badords,class
GET,/brutelogic/status/1229061792481017856?ref_src=twsrc%5etfw,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/watering_hole,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/white_box_(software_engineering),,0,0,0,1,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/g0blinresearch,,0,0,0,0,0,0,0,0,Legit
GET,/zigoo0/jsonbee/blob/master/jsonp.txt,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/static_program_analysis,,0,0,0,0,0,0,0,0,Legit
GET,/brutalsecrets,,0,0,0,0,0,0,0,0,Legit
GET,/pt-br/docs/web/api/navigator,,0,0,0,0,0,0,0,0,Legit
GET,/widgets.js,,0,0,0,0,0,0,0,0,Legit
GET,/tests/newsletter.php,,0,0,0,0,0,0,0,0,Legit
GET,/rooteval,,0,0,0,0,0,0,1,0,Legit
GET,/google/security-research-pocs/blob/master/script-gadgets/bypasses.md,,0,0,0,0,0,0,1,0,Legit
GET,/lab/header.php,,0,0,0,0,0,0,0,0,Legit
GET,/blog/xss-payload-scheme/,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/same-origin_policy,,0,0,0,0,0,0,0,0,Legit
GET,/symbiansymoh,,0,0,0,0,0,0,0,0,Legit
GET,/en-us/docs/web/api/urlsearchparams,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/travel/checkin/js/lib/js-overrides.js,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/brutelogic/status/711919706467385344,,0,0,0,0,0,0,0,0,Legit
GET,"/webgun/test.php?p=%3csvg%20onload=navigator.vibrate%28[500,300,100]%29%3e",,0,0,0,1,1,0,1,0,Legit
GET,/brutelogic/status/1066333383276593152,,0,0,0,0,0,0,0,0,Legit
GET,/riyazwalikar,,0,0,0,0,0,0,0,0,Legit
GET,/embed/i8mtyiceqri?version=3&rel=1&showsearch=0&showinfo=1&iv_load_policy=1&fs=1&hl=en-us&autohide=2&wmode=transparent,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/po6ix,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/bru509,,0,0,0,0,0,0,0,0,Legit
GET,/xss-and-wordpress-the-aftermath/,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/lab/multix0.php?p=aaa&q=bbb,,0,0,0,0,0,0,0,0,Legit
GET,/blog/wp-content/plugins/jetpack/_inc/build/sharedaddy/sharing.min.js?ver=10.6,,0,0,0,0,0,0,0,0,Legit
GET,/php-form/php-form-action-self.html,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/zero-day_(computing),,0,0,0,1,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/view/cr2ezs4na.txt,,0,0,0,0,0,0,0,0,Legit
GET,/spazef0rze,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/security_information_and_event_management,,0,0,0,0,0,0,0,0,Legit
GET,/resources/spiderlabs-blog/detecting-successful-xss-testing-with-js-overrides/,,0,0,0,0,0,0,0,0,Legit
GET,/tests/search.php?q=%22%20href=javas%26%23x63ript:alert%281%29%20%3cmath%3e%3c!--,,0,1,1,1,2,0,1,0,Legit
GET,/naxezflm2p,,0,0,0,0,0,0,0,0,Legit
